player,team,league,season,goals
Aiyegun Tosin,Zurich,Super League,2025,20
Meschack Elia,Young Boys,Super League,2025,18
Zan Celar,Lugano,Super League,2025,17
Zeki Amdouni,Lausanne,Super League,2025,16
Renato Steffen,Lugano,Super League,2025,15
Dan Ndoye,Basel,Super League,2025,14
Cedric Itten,Young Boys,Super League,2025,13
Kevin Bua,Sion,Super League,2025,13
Filip Ugrinic,Luzern,Super League,2025,12
Miroslav Stevanovic,Servette,Super League,2025,11
Dejan Sorgic,St. Gallen,Super League,2025,10
Harold Godinho,Grasshoppers,Super League,2025,9
Samir Ramizi,Winterthur,Super League,2025,9
Silvan Hefti,St. Gallen,Super League,2025,8
Anto Grgic,Sion,Super League,2025,8
Yoric Ravet,Lausanne,Super League,2025,7
Valentin Stocker,Basel,Super League,2025,7
Jonathan Okita,Zurich,Super League,2025,7
Allan Arigoni,Grasshoppers,Super League,2025,6
Kastriot Imeri,Servette,Super League,2025,6
Kevin Mbabu,Young Boys,Super League,2025,5
Lars Villiger,Luzern,Super League,2025,5
Miguel Rodrigues,Yverdon,Super League,2025,5
Silvan Sidler,Winterthur,Super League,2025,4
Nicolas Vouilloz,Servette,Super League,2025,4
Simon Grether,Thun,Super League,2025,4
Jean-Pierre Nsame,Basel,Super League,2025,9
Hugo Vogel,Basel,Super League,2025,3
Michael Lang,Basel,Super League,2025,2
Andy Pelmard,Basel,Super League,2025,1
Riccardo Calafiori,Basel,Super League,2025,1
Fabian Frei,Basel,Super League,2025,4
Taulant Xhaka,Basel,Super League,2025,1
Wouter Burger,Basel,Super League,2025,2
Finn van Breemen,Basel,Super League,2025,0
Antonio Marchesano,Zurich,Super League,2025,8
Roko Simic,Zurich,Super League,2025,6
Blerim Dzemaili,Zurich,Super League,2025,2
Adrian Guerrero,Zurich,Super League,2025,1
Ole Selnaes,Zurich,Super League,2025,1
Becir Omeragic,Zurich,Super League,2025,1
Nikola Katic,Zurich,Super League,2025,1
Yanick Brecher,Zurich,Super League,2025,0
Ivan Santini,Zurich,Super League,2025,5
Ifeanyi Mathew,Zurich,Super League,2025,2
Cedric Zesiger,Young Boys,Super League,2025,2
Vincent Sierro,Young Boys,Super League,2025,5
Ulisses Garcia,Young Boys,Super League,2025,1
Fabian Rieder,Young Boys,Super League,2025,6
Jordan Siebatcheu,Young Boys,Super League,2025,7
Christian Fassnacht,Young Boys,Super League,2025,6
Gregory Wuthrich,Young Boys,Super League,2025,1
David von Ballmoos,Young Boys,Super League,2025,0
Mohamed Ali Camara,Young Boys,Super League,2025,1
Quentin Maceiras,Young Boys,Super League,2025,1
Alessio Da Cruz,Lugano,Super League,2025,6
Mattia Bottani,Lugano,Super League,2025,7
Roman Macek,Lugano,Super League,2025,2
Olivier Custodio,Lugano,Super League,2025,3
Jonathan Sabbatini,Lugano,Super League,2025,3
Marin Pilj,Lugano,Super League,2025,2
Miroslav Covilo,Lugano,Super League,2025,1
Noah De Queiroz,Lugano,Super League,2025,0
Stefano Guidotti,Lugano,Super League,2025,2
Douglas Luiz,Lugano,Super League,2025,0
Muhamed Demiraj,Lausanne,Super League,2025,4
Trae Coyle,Lausanne,Super League,2025,6
Luke Paschke,Lausanne,Super League,2025,1
Maxime Dominguez,Lausanne,Super League,2025,2
Stjepan Kukuruzovic,Lausanne,Super League,2025,3
Nassim Ben Khalifa,Lausanne,Super League,2025,2
Anel Husic,Lausanne,Super League,2025,1
Theo Magnenat,Lausanne,Super League,2025,0
Donat Rrudhani,Lausanne,Super League,2025,2
Gabriel Baranes,Lausanne,Super League,2025,0
Max Meyer,Luzern,Super League,2025,6
Pius Dorn,Luzern,Super League,2025,3
Nathanael,Luzern,Super League,2025,0
Marco Burch,Luzern,Super League,2025,2
Martin Frydek,Luzern,Super League,2025,1
Maximilian Arn,Luzern,Super League,2025,1
Marius Muller,Luzern,Super League,2025,0
Lorik Emini,Luzern,Super League,2025,1
Ibrahima Ndiaye,Luzern,Super League,2025,5
Ismajl Beka,Luzern,Super League,2025,0
Lukas Gortler,St. Gallen,Super League,2025,6
Victor Ruiz,St. Gallen,Super League,2025,4
